"Order ID;Customer ID;id sales person;Order Date;id_order prioriry;SKU;Order Quantity;Unit Sell Price;Discount;Shipping Amount;Ship Mode;id_ Product Container;Ship Date"
"802;C433;2;4/01/2020;4;SKU1085;2;15,99;0,09;9,4;13;103;4/01/2020"
"6560;C519;1;4/01/2020;1;SKU325;20;8,67;0,09;3,5;13;103;8/01/2020"
"6560;C519;1;4/01/2020;1;SKU242;37;280,98;0,04;35,67;14;109;9/01/2020"
"33473;C539;1;4/01/2020;1;SKU870;50;12,98;0,08;3,14;13;113;4/01/2020"
"44198;C315;2;4/01/2020;4;SKU1197;35;20,99;0,04;3,3;12;113;4/01/2020"
"25028;C052;1;5/01/2020;4;SKU016;5;81,94;0,02;55,81;14;109;6/01/2020"
"25028;C052;1;5/01/2020;4;SKU580;14;37,94;0;5,08;12;107;7/01/2020"
"43808;C158;1;6/01/2020;1;SKU132;16;6,24;0,04;5,22;13;103;13/01/2020"
"8195;C621;3;6/01/2020;2;SKU553;5;7,28;0,05;11,15;12;103;7/01/2020"
"8195;C621;2;6/01/2020;2;SKU187;1;5,08;0,1;3,63;13;107;8/01/2020"
"8195;C621;2;6/01/2020;2;SKU797;26;3,28;0,03;3,97;13;107;7/01/2020"
"29958;C070;2;6/01/2020;3;SKU373;47;6,37;0;5,19;13;103;7/01/2020"
"29958;C070;3;6/01/2020;3;SKU050;32;500,98;0,1;26;14;105;8/01/2020"
"35845;C218;3;6/01/2020;3;SKU233;15;376,13;0,05;85,63;14;109;8/01/2020"
"50945;C783;3;7/01/2020;4;SKU1179;27;35,99;0,01;1,25;13;113;9/01/2020"
"3488;C542;1;7/01/2020;2;SKU042;39;122,99;0,06;70,2;14;105;10/01/2020"
"3488;C542;1;7/01/2020;2;SKU807;6;21,98;0,02;2,87;13;113;8/01/2020"
"58340;C733;2;8/01/2020;2;SKU285;36;50,98;0,03;13,66;13;103;9/01/2020"
"46402;C665;1;8/01/2020;2;SKU120;27;29,18;0,03;8,55;13;103;10/01/2020"
"46402;C665;2;8/01/2020;2;SKU1227;29;66,99;0,01;13,99;13;111;9/01/2020"
"46402;C665;2;8/01/2020;2;SKU1238;12;115,99;0,01;2,5;12;103;9/01/2020"
"52672;C346;3;8/01/2020;1;SKU1174;29;65,99;0,09;5,26;13;103;13/01/2020"
"7840;C609;1;8/01/2020;1;SKU1029;34;4,89;0,1;4,93;13;113;12/01/2020"
"1445;C696;3;9/01/2020;2;SKU386;3;420,98;0;19,99;13;103;12/01/2020"
"1445;C696;1;9/01/2020;2;SKU831;30;11,97;0,08;5,81;13;113;11/01/2020"
"14693;C201;2;9/01/2020;4;SKU723;39;6,48;0,02;6,41;13;103;11/01/2020"
"14693;C201;2;9/01/2020;4;SKU967;38;20,98;0,05;45;14;105;11/01/2020"
"23556;C590;3;9/01/2020;2;SKU314;34;363,25;0,05;19,99;12;103;10/01/2020"
"19654;C494;1;9/01/2020;3;SKU175;8;46,94;0,04;6,77;13;103;9/01/2020"
"40225;C285;3;9/01/2020;1;SKU398;50;16,74;0,06;5,08;13;103;16/01/2020"
"40225;C285;2;9/01/2020;1;SKU042;45;122,99;0,05;70,2;14;105;11/01/2020"
"43814;C312;3;9/01/2020;2;SKU450;40;5,28;0,09;2,99;13;103;10/01/2020"
"43814;C312;2;9/01/2020;2;SKU568;47;4,2;0,03;2,26;13;107;10/01/2020"
"35266;C088;2;10/01/2020;0;SKU782;39;5,84;0,07;1,2;13;107;10/01/2020"
"35266;C088;3;10/01/2020;0;SKU228;28;218,75;0,07;69,64;14;109;12/01/2020"
"32901;C568;3;10/01/2020;4;SKU517;13;3,75;0;0,5;13;103;11/01/2020"
"41895;C767;2;10/01/2020;4;SKU1072;8;3499,99;0,05;24,49;13;101;12/01/2020"
"20805;C674;3;10/01/2020;3;SKU349;12;5,53;0,06;6,98;13;103;13/01/2020"
"20805;C674;2;10/01/2020;3;SKU105;35;12,58;0,08;5,16;13;103;12/01/2020"
"20805;C674;1;10/01/2020;3;SKU675;3;4,28;0,06;4,79;13;103;11/01/2020"
"20805;C674;2;10/01/2020;3;SKU738;12;3,85;0,1;0,7;13;107;11/01/2020"
"42081;C157;1;10/01/2020;1;SKU457;36;5,18;0,04;5,74;13;103;15/01/2020"
"42081;C157;3;10/01/2020;1;SKU499;3;10,94;0,08;1,39;13;103;12/01/2020"
"42081;C157;1;10/01/2020;1;SKU1161;26;65,99;0,02;8,8;13;103;15/01/2020"
"41254;C550;1;10/01/2020;4;SKU207;17;107,53;0,08;5,81;13;111;12/01/2020"
"40420;C371;1;10/01/2020;3;SKU348;22;2,88;0,1;1,49;13;103;12/01/2020"
"40420;C371;1;10/01/2020;3;SKU1184;50;20,99;0,08;0,99;13;107;12/01/2020"
"12773;C313;3;11/01/2020;1;SKU340;6;2,78;0,07;1,49;13;103;13/01/2020"
"12773;C313;2;11/01/2020;1;SKU137;15;4,14;0,04;6,6;13;103;20/01/2020"
"12773;C313;3;11/01/2020;1;SKU717;19;6,48;0,05;7,86;13;103;16/01/2020"
"12773;C313;1;11/01/2020;1;SKU801;21;3,28;0,01;3,97;13;107;16/01/2020"
"21670;C398;1;11/01/2020;3;SKU174;24;78,69;0;19,99;13;103;12/01/2020"
"46468;C789;2;11/01/2020;4;SKU388;46;165,98;0,08;19,99;13;103;12/01/2020"
"46468;C789;2;11/01/2020;4;SKU974;41;39,48;0,08;1,99;12;113;13/01/2020"
"46468;C789;1;11/01/2020;4;SKU712;1;6,48;0,04;5,4;13;103;13/01/2020"
"4134;C051;3;11/01/2020;4;SKU018;48;130,98;0,01;54,74;14;109;13/01/2020"
"4134;C051;1;11/01/2020;4;SKU1045;23;30,97;0,02;4;13;103;11/01/2020"
"29409;C669;3;13/01/2020;3;SKU978;23;1,7;0,09;1,99;13;113;15/01/2020"
"55815;C188;3;13/01/2020;3;SKU125;28;105,29;0,04;10,12;12;101;14/01/2020"
"18370;C638;1;13/01/2020;1;SKU1188;41;35,99;0;5;13;103;17/01/2020"
"21379;C146;1;14/01/2020;3;SKU043;35;150,89;0,05;60,2;14;105;16/01/2020"
"49189;C113;2;15/01/2020;4;SKU487;32;7,64;0,06;1,39;13;103;18/01/2020"
"46147;C542;3;15/01/2020;4;SKU408;37;24,92;0,01;12,98;13;103;17/01/2020"
"46147;C542;2;15/01/2020;4;SKU456;39;7,1;0,08;6,05;12;103;17/01/2020"
"46147;C542;2;15/01/2020;4;SKU238;12;550,98;0,09;64,59;14;109;17/01/2020"
"19365;C282;2;16/01/2020;2;SKU701;29;5,98;0,03;5,2;13;103;17/01/2020"
"25669;C040;1;16/01/2020;4;SKU511;12;3,69;0,02;0,5;13;103;16/01/2020"
"46980;C552;3;17/01/2020;4;SKU526;34;6,3;0,01;0,5;13;103;17/01/2020"
"11111;C319;1;17/01/2020;2;SKU130;7;41,47;0,1;34,2;13;107;19/01/2020"
"11111;C319;2;17/01/2020;2;SKU715;29;6,48;0,1;7,37;13;103;19/01/2020"
"35780;C150;1;17/01/2020;2;SKU786;6;4,28;0,01;1,6;13;107;19/01/2020"
"28642;C602;1;18/01/2020;3;SKU450;41;5,28;0;2,99;13;103;20/01/2020"
"28642;C602;1;18/01/2020;3;SKU1219;27;65,99;0;19,99;13;103;20/01/2020"
"15719;C775;2;18/01/2020;4;SKU044;18;300,98;0,07;64,73;14;105;19/01/2020"
"49987;C738;3;19/01/2020;3;SKU027;15;114,98;0,05;58,72;14;109;22/01/2020"
"49987;C738;2;19/01/2020;3;SKU235;4;212,6;0,03;52,2;14;109;22/01/2020"
"16096;C658;3;19/01/2020;3;SKU503;9;2,88;0;0,99;12;103;20/01/2020"
"10722;C241;3;19/01/2020;0;SKU699;8;4,28;0,01;5,68;13;103;21/01/2020"
"49987;C738;3;19/01/2020;3;SKU1184;14;20,99;0,03;0,99;13;107;21/01/2020"
"36931;C064;2;19/01/2020;0;SKU786;46;4,28;0,1;1,6;13;107;19/01/2020"
"22561;C214;1;20/01/2020;4;SKU158;7;17,67;0,07;8,99;13;113;22/01/2020"
"22561;C214;3;20/01/2020;4;SKU325;50;8,67;0,03;3,5;13;103;22/01/2020"
"22561;C214;2;20/01/2020;4;SKU1058;5;99,99;0,03;19,99;12;103;22/01/2020"
"57217;C013;3;21/01/2020;2;SKU774;35;11,66;0,06;7,95;13;113;23/01/2020"
"16837;C376;1;21/01/2020;0;SKU040;4;258,98;0,09;54,31;14;105;22/01/2020"
"35399;C419;3;21/01/2020;1;SKU336;38;4,91;0,04;5,68;13;103;23/01/2020"
"6564;C047;1;21/01/2020;1;SKU1023;26;15,98;0,01;4;13;103;21/01/2020"
"2883;C642;1;22/01/2020;1;SKU910;34;64,98;0,1;6,88;13;103;24/01/2020"
"50208;C680;1;22/01/2020;2;SKU353;4;6,23;0,1;6,97;12;103;23/01/2020"
"21606;C776;1;22/01/2020;0;SKU1038;29;17,48;0,06;1,99;13;113;23/01/2020"
"21606;C776;3;22/01/2020;0;SKU1051;43;32,98;0,06;5,5;12;103;23/01/2020"
"9824;C750;2;22/01/2020;4;SKU292;39;48,92;0,03;4,5;12;103;24/01/2020"
"9824;C750;3;22/01/2020;4;SKU523;5;4,13;0;0,5;13;103;24/01/2020"
"9824;C750;3;22/01/2020;4;SKU819;43;2,88;0,1;1,01;13;107;24/01/2020"
"49443;C574;2;23/01/2020;3;SKU775;41;9,85;0,05;4,82;13;107;24/01/2020"
"49761;C469;1;24/01/2020;0;SKU1137;45;23,99;0,07;6,3;13;111;25/01/2020"
"21890;C030;3;24/01/2020;0;SKU802;27;2,94;0,01;0,96;13;107;26/01/2020"
"47136;C219;3;24/01/2020;2;SKU446;18;4,82;0;1,49;13;103;26/01/2020"
"386;C773;3;24/01/2020;3;SKU520;4;3,69;0,02;0,5;13;103;26/01/2020"
"386;C773;1;24/01/2020;3;SKU738;4;3,85;0,09;0,7;13;107;26/01/2020"
"21890;C030;3;24/01/2020;0;SKU483;44;11,58;0,06;6,97;13;103;26/01/2020"
"33091;C648;1;25/01/2020;3;SKU563;24;9,99;0,02;11,59;13;103;27/01/2020"
"25095;C112;2;25/01/2020;1;SKU473;18;39,98;0,06;9,83;13;103;30/01/2020"
"25095;C112;2;25/01/2020;1;SKU1108;41;115,99;0,08;56,14;14;105;25/01/2020"
"24388;C266;1;26/01/2020;4;SKU1080;15;549,99;0;49;14;105;27/01/2020"
"49601;C497;1;26/01/2020;1;SKU055;15;113,98;0,01;30;14;105;2/02/2020"
"51974;C778;2;26/01/2020;3;SKU306;10;123,38;0,05;24,49;13;101;27/01/2020"
"51974;C778;1;26/01/2020;3;SKU358;2;8,6;0,05;6,19;13;103;27/01/2020"
"52199;C006;3;26/01/2020;2;SKU461;19;4,82;0,05;5,24;13;103;27/01/2020"
"15106;C238;3;27/01/2020;0;SKU169;42;6,64;0,03;4,95;13;113;29/01/2020"
"15106;C238;3;27/01/2020;0;SKU1123;39;145,45;0,06;17,85;14;105;27/01/2020"
"15106;C238;2;27/01/2020;0;SKU791;35;2,21;0,03;1,12;13;107;29/01/2020"
"24960;C186;2;27/01/2020;3;SKU987;48;34,98;0,01;7,53;12;103;28/01/2020"
"24960;C186;2;27/01/2020;3;SKU580;37;37,94;0;5,08;13;107;28/01/2020"
"24960;C186;2;27/01/2020;3;SKU728;18;6,48;0,03;5,87;13;103;29/01/2020"
"24960;C186;1;27/01/2020;3;SKU1140;35;200,99;0,04;4,2;13;103;28/01/2020"
"59652;C044;1;27/01/2020;2;SKU1180;17;20,99;0,05;0,99;13;113;29/01/2020"
"59047;C088;1;28/01/2020;0;SKU1034;10;28,48;0,09;1,99;13;113;28/01/2020"
"59047;C088;3;28/01/2020;0;SKU137;26;4,14;0,06;6,6;13;103;30/01/2020"
"26529;C604;1;28/01/2020;1;SKU1125;41;297,64;0,08;14,7;14;105;1/02/2020"
"26529;C604;1;28/01/2020;1;SKU589;17;11,34;0,05;11,25;13;103;1/02/2020"
"24640;C593;3;29/01/2020;2;SKU055;12;113,98;0,06;30;14;105;30/01/2020"
"30151;C424;1;29/01/2020;0;SKU408;31;24,92;0,02;12,98;13;103;31/01/2020"
"8480;C647;1;29/01/2020;3;SKU694;11;6,48;0,07;8,74;13;103;31/01/2020"
"8480;C647;3;29/01/2020;3;SKU1253;3;125,99;0,09;7,69;13;103;31/01/2020"
"59139;C332;2;29/01/2020;4;SKU329;12;70,97;0,05;3,5;13;103;30/01/2020"
"59139;C332;2;29/01/2020;4;SKU451;38;5,34;0,09;2,99;13;103;30/01/2020"
"21760;C574;3;30/01/2020;0;SKU150;9;7,38;0,08;5,21;13;103;31/01/2020"
"52482;C313;1;31/01/2020;4;SKU272;21;40,98;0,06;5,33;12;103;31/01/2020"
"52482;C313;2;31/01/2020;4;SKU163;30;22,23;0;3,63;13;113;2/02/2020"
"27430;C051;2;31/01/2020;3;SKU203;3;105,98;0,08;13,99;13;111;1/02/2020"
"27430;C051;1;31/01/2020;3;SKU824;12;7,08;0,1;2,35;13;107;1/02/2020"
"8802;C732;3;31/01/2020;2;SKU306;15;123,38;0,07;24,49;13;101;2/02/2020"
"58981;C736;3;31/01/2020;3;SKU279;28;46,89;0,07;5,1;13;111;2/02/2020"
"55075;C462;2;1/02/2020;4;SKU049;21;25,98;0,08;14,36;14;105;4/02/2020"
"21956;C562;3;1/02/2020;3;SKU1155;2;65,99;0,02;8,99;13;103;3/02/2020"
"31140;C730;3;1/02/2020;4;SKU507;4;3,08;0,03;0,99;13;103;2/02/2020"
"24160;C031;3;1/02/2020;2;SKU1248;44;95,99;0,06;4,9;13;103;2/02/2020"
"6791;C466;2;1/02/2020;2;SKU1089;14;51,98;0,1;10,17;12;111;3/02/2020"
"33958;C498;1;2/02/2020;4;SKU1197;27;20,99;0,1;3,3;13;113;4/02/2020"
"33958;C498;2;2/02/2020;4;SKU759;14;25,99;0,09;5,37;13;103;4/02/2020"
"45543;C229;3;2/02/2020;1;SKU252;16;70,89;0,01;89,3;14;109;6/02/2020"
"12326;C776;1;2/02/2020;4;SKU197;4;29,34;0,05;57,87;13;103;4/02/2020"
"21639;C761;1;2/02/2020;0;SKU442;24;5,94;0,07;9,92;13;103;4/02/2020"
"21639;C761;2;2/02/2020;0;SKU140;3;39,98;0,01;9,2;13;107;3/02/2020"
"21639;C761;3;2/02/2020;0;SKU156;38;194,3;0,02;11,54;13;101;2/02/2020"
"21639;C761;2;2/02/2020;0;SKU907;23;6,98;0,07;9,69;13;103;2/02/2020"
"45059;C767;3;3/02/2020;0;SKU806;35;37,74;0,05;2,9;12;113;4/02/2020"
"45059;C767;1;3/02/2020;0;SKU920;39;95,43;0,09;19,99;12;103;5/02/2020"
"38784;C497;1;3/02/2020;2;SKU526;50;6,3;0,09;0,5;13;103;5/02/2020"
"21057;C417;1;3/02/2020;1;SKU974;28;39,48;0,04;1,99;13;113;10/02/2020"
"45059;C767;2;3/02/2020;0;SKU988;4;30,42;0,04;8,65;13;103;5/02/2020"
"40102;C024;2;3/02/2020;2;SKU325;46;8,67;0,06;3,5;12;103;5/02/2020"
"34978;C131;3;4/02/2020;3;SKU440;49;3,52;0,08;6,83;13;103;6/02/2020"
"50949;C320;3;4/02/2020;2;SKU862;32;2,18;0,09;0,78;12;107;5/02/2020"
"50949;C320;1;4/02/2020;2;SKU1236;46;125,99;0,08;8,8;13;103;6/02/2020"
"32484;C792;2;4/02/2020;0;SKU044;9;300,98;0,1;64,73;14;105;5/02/2020"
"14503;C118;1;5/02/2020;0;SKU444;14;30,56;0,02;2,99;12;103;6/02/2020"
"41926;C324;3;5/02/2020;3;SKU729;17;6,48;0,08;5,14;13;103;6/02/2020"
"41926;C324;2;5/02/2020;3;SKU935;43;34,76;0;8,22;13;103;5/02/2020"
"11719;C436;1;5/02/2020;0;SKU1101;3;500,97;0,06;69,3;14;105;6/02/2020"
"11719;C436;3;5/02/2020;0;SKU752;30;21,38;0,09;8,99;13;113;5/02/2020"
"11719;C436;1;5/02/2020;0;SKU1234;17;28,99;0,01;8,59;13;111;5/02/2020"
"29028;C487;2;5/02/2020;4;SKU1098;43;400,97;0,08;14,7;14;105;7/02/2020"
"21155;C555;2;5/02/2020;3;SKU656;4;19,98;0,07;5,97;13;103;6/02/2020"
"29767;C278;2;5/02/2020;3;SKU318;48;90,24;0,06;0,99;13;103;6/02/2020"
"32007;C766;2;5/02/2020;1;SKU230;41;417,4;0,06;75,23;14;109;9/02/2020"
"46307;C397;1;6/02/2020;2;SKU732;32;19,98;0,05;5,77;13;103;6/02/2020"
"46307;C397;2;6/02/2020;2;SKU948;27;42,76;0,01;6,22;13;103;9/02/2020"
"2053;C759;1;6/02/2020;4;SKU050;39;500,98;0,01;126;14;105;7/02/2020"
"2053;C759;3;6/02/2020;4;SKU1171;7;140,99;0,08;4,2;13;103;8/02/2020"
"27622;C540;1;6/02/2020;2;SKU237;4;320,64;0,09;43,57;14;109;7/02/2020"
"30497;C715;1;6/02/2020;4;SKU433;34;20,98;0,03;8,83;12;103;8/02/2020"
"30497;C715;2;6/02/2020;4;SKU663;31;5,98;0,06;5,35;13;103;8/02/2020"
"54882;C562;2;6/02/2020;4;SKU534;17;4,98;0,02;0,49;13;103;9/02/2020"
"54882;C562;3;6/02/2020;4;SKU768;2;36,55;0,03;13,89;13;107;8/02/2020"
"43110;C520;1;6/02/2020;3;SKU698;3;4,98;0;5,02;13;103;6/02/2020"
"43110;C520;3;6/02/2020;3;SKU1072;1;3499,99;0,05;24,49;13;101;8/02/2020"
"56711;C777;1;6/02/2020;1;SKU617;25;48,04;0,01;7,23;13;103;11/02/2020"
"12066;C230;3;6/02/2020;2;SKU1151;27;200,99;0,1;8,08;13;103;7/02/2020"
"57633;C709;3;6/02/2020;3;SKU089;12;30,93;0,09;3,92;12;113;7/02/2020"
"39270;C315;3;6/02/2020;3;SKU839;11;5,81;0,07;3,37;13;107;6/02/2020"
"29953;C113;3;7/02/2020;4;SKU339;42;14,45;0,02;7,17;13;103;10/02/2020"
"21824;C206;3;7/02/2020;1;SKU128;37;90,98;0,04;56,2;12;111;14/02/2020"
"31046;C271;1;7/02/2020;4;SKU1244;42;110,99;0,08;2,5;13;103;8/02/2020"
"31046;C271;1;7/02/2020;4;SKU872;35;6,84;0,02;4,42;13;113;10/02/2020"
"34881;C135;3;7/02/2020;2;SKU369;37;4,98;0,01;4,95;13;103;9/02/2020"
"1637;C020;3;7/02/2020;0;SKU892;36;35,48;0,1;35;12;101;7/02/2020"
"1637;C020;1;7/02/2020;0;SKU1059;10;99,99;0,07;19,99;13;103;7/02/2020"
"1637;C020;2;7/02/2020;0;SKU758;47;30,98;0,08;8,99;13;113;9/02/2020"
"22532;C131;2;8/02/2020;4;SKU406;13;8,85;0,03;5,6;13;103;8/02/2020"
"57922;C318;3;8/02/2020;4;SKU866;50;6,84;0,04;8,37;13;113;8/02/2020"
"15300;C124;2;8/02/2020;3;SKU554;42;5,28;0,05;5,06;12;103;10/02/2020"
"15428;C705;2;9/02/2020;4;SKU976;50;29,1;0,09;4;12;103;10/02/2020"
"15428;C705;2;9/02/2020;4;SKU1222;10;110,99;0,01;8,99;13;103;12/02/2020"
"51461;C313;2;10/02/2020;0;SKU202;43;19,99;0,07;11,17;13;101;12/02/2020"
"33764;C769;3;10/02/2020;4;SKU824;31;7,08;0,01;2,35;13;107;11/02/2020"
"49892;C090;3;10/02/2020;1;SKU310;26;4,48;0,02;49;13;101;10/02/2020"
"21989;C461;2;10/02/2020;1;SKU147;9;12,07;0,03;6,2;13;107;10/02/2020"
"21989;C461;3;10/02/2020;1;SKU1210;35;125,99;0,04;4,2;13;103;10/02/2020"
"28773;C549;3;10/02/2020;1;SKU1195;48;55,99;0,05;5;13;113;17/02/2020"
"33764;C769;2;10/02/2020;4;SKU930;4;120,33;0;19,99;13;103;12/02/2020"
"33764;C769;1;10/02/2020;4;SKU1255;6;205,99;0,06;8,99;12;103;11/02/2020"
"6403;C393;3;11/02/2020;1;SKU952;41;419,19;0;19,99;13;103;13/02/2020"
"18244;C151;2;11/02/2020;4;SKU061;1;140,81;0;24,49;13;101;13/02/2020"
"34243;C761;3;11/02/2020;3;SKU146;10;8,75;0,08;8,54;13;113;13/02/2020"
"34243;C761;2;11/02/2020;3;SKU553;40;7,28;0,04;11,15;12;103;12/02/2020"
"34243;C761;3;11/02/2020;3;SKU892;35;35,48;0,02;35;13;101;13/02/2020"
"46562;C048;2;12/02/2020;0;SKU223;35;145,98;0,01;46,2;14;109;14/02/2020"
"45156;C482;2;12/02/2020;1;SKU317;30;20,48;0,01;6,32;13;103;12/02/2020"
"45156;C482;3;12/02/2020;1;SKU453;35;6,75;0,07;2,99;13;103;19/02/2020"
"45156;C482;2;12/02/2020;1;SKU510;14;12,53;0,08;0,5;13;103;17/02/2020"
"59045;C141;1;13/02/2020;4;SKU436;30;4,55;0,05;1,49;13;103;15/02/2020"
"9537;C363;1;13/02/2020;0;SKU006;6;150,98;0,1;66,27;14;109;15/02/2020"
"9537;C363;3;13/02/2020;0;SKU334;43;3,81;0,01;5,44;13;103;15/02/2020"
"49763;C099;1;13/02/2020;4;SKU492;8;5,68;0,02;1,39;13;103;14/02/2020"
"49763;C099;1;13/02/2020;4;SKU231;6;348,21;0;84,84;14;109;13/02/2020"
"10245;C065;1;13/02/2020;2;SKU349;23;5,53;0,1;6,98;13;103;15/02/2020"
"10245;C065;3;13/02/2020;2;SKU042;20;122,99;0,04;70,2;14;105;14/02/2020"
"47015;C370;3;13/02/2020;0;SKU256;19;286,85;0,06;61,76;14;109;14/02/2020"
"7171;C035;2;13/02/2020;2;SKU1172;28;65,99;0;8,99;13;103;15/02/2020"
"7171;C035;1;13/02/2020;2;SKU1184;17;20,99;0,02;0,99;13;107;15/02/2020"
"10245;C065;1;13/02/2020;2;SKU007;27;100,98;0,06;57,38;14;109;14/02/2020"
"58500;C153;1;14/02/2020;1;SKU1222;17;110,99;0,07;8,99;13;103;14/02/2020"
"22849;C271;3;14/02/2020;0;SKU378;27;11,7;0,08;5,63;13;103;15/02/2020"
"22849;C271;3;14/02/2020;0;SKU811;34;2,78;0;1,34;12;107;16/02/2020"
"22849;C271;1;14/02/2020;0;SKU907;27;6,98;0,01;9,69;13;103;16/02/2020"
"22849;C271;3;14/02/2020;0;SKU1166;25;205,99;0,05;3;13;103;16/02/2020"
"45991;C302;2;14/02/2020;1;SKU008;1;100,98;0,1;35,84;14;109;16/02/2020"
"45991;C302;3;14/02/2020;1;SKU523;50;4,13;0,07;0,5;13;103;18/02/2020"
"50276;C103;2;14/02/2020;0;SKU779;34;11,55;0,05;2,36;13;107;15/02/2020"
"35494;C400;1;14/02/2020;2;SKU244;18;111,96;0,01;69;13;101;15/02/2020"
"55808;C248;3;14/02/2020;0;SKU042;6;122,99;0;70,2;14;105;16/02/2020"
"55808;C248;2;14/02/2020;0;SKU1138;45;20,99;0,03;4,81;13;111;16/02/2020"
"45155;C622;1;15/02/2020;1;SKU343;44;4,13;0,03;5,34;13;103;22/02/2020"
"45155;C622;3;15/02/2020;1;SKU885;35;3,14;0,05;1,92;13;107;15/02/2020"
"30981;C564;2;15/02/2020;1;SKU323;29;279,81;0,1;23,19;14;105;19/02/2020"
"30981;C564;2;15/02/2020;1;SKU071;22;180,98;0,09;30;14;105;17/02/2020"
"5636;C226;3;15/02/2020;2;SKU764;23;5,85;0;2,27;13;107;17/02/2020"
"14434;C753;2;15/02/2020;0;SKU1103;39;119,99;0,02;56,14;14;109;17/02/2020"
"27105;C675;2;16/02/2020;0;SKU498;37;5,98;0,01;2,5;13;103;17/02/2020"
"27105;C675;3;16/02/2020;0;SKU166;2;10,4;0;5,4;13;113;17/02/2020"
"52868;C445;1;16/02/2020;1;SKU1009;19;7,37;0,09;5,53;13;113;18/02/2020"
"23426;C270;3;16/02/2020;4;SKU1037;45;22,98;0,07;1,99;13;113;18/02/2020"
"23426;C270;3;16/02/2020;4;SKU882;12;2,52;0,09;1,92;13;107;17/02/2020"
"49921;C170;2;17/02/2020;1;SKU1123;5;145,45;0,06;17,85;14;105;21/02/2020"
"49921;C170;2;17/02/2020;1;SKU942;1;12,28;0,04;6,13;13;103;19/02/2020"
"10213;C232;3;17/02/2020;3;SKU1046;12;39,98;0,04;4;13;103;19/02/2020"
"40386;C373;3;18/02/2020;3;SKU535;28;98,31;0;0,49;12;103;20/02/2020"
"36454;C051;3;18/02/2020;4;SKU931;8;7,98;0,05;6,5;13;111;21/02/2020"
"16481;C601;2;18/02/2020;1;SKU281;50;56,96;0;13,22;13;103;23/02/2020"
"16481;C601;3;18/02/2020;1;SKU1117;47;442,14;0,08;14,7;14;105;23/02/2020"
"51777;C546;2;19/02/2020;2;SKU391;4;896,99;0,08;19,99;13;103;20/02/2020"
"51777;C546;3;19/02/2020;2;SKU994;13;100,97;0,06;7,18;13;103;21/02/2020"
"9696;C322;2;19/02/2020;0;SKU453;15;6,75;0,02;2,99;13;103;21/02/2020"
"9696;C322;3;19/02/2020;0;SKU057;13;243,98;0,03;43,32;14;105;21/02/2020"
"58117;C266;2;20/02/2020;4;SKU885;42;3,14;0,04;1,92;13;107;21/02/2020"
"40962;C503;3;20/02/2020;4;SKU269;28;54,48;0,03;0,99;13;103;21/02/2020"
"40962;C503;3;20/02/2020;4;SKU1225;30;125,99;0;8,99;13;103;21/02/2020"
"7462;C463;1;20/02/2020;3;SKU751;3;22,01;0,07;5,53;12;113;21/02/2020"
"12486;C207;2;20/02/2020;3;SKU007;31;100,98;0,08;57,38;14;109;21/02/2020"
"12486;C207;2;20/02/2020;3;SKU319;42;40,98;0,04;7,2;13;103;21/02/2020"
"21475;C307;3;20/02/2020;4;SKU1055;39;14,48;0,06;1,99;13;113;22/02/2020"
